"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
176,"NAMUTUMBA",100
177,"NAMUTUMBA",100
178,"NAPAK",99.97
179,"NAPAK",99.97
180,"NEBBI",100
181,"NEBBI",100
182,"NGORA",100
183,"NTOROKO",100
184,"NTOROKO",100
185,"NTUNGAMO",100
186,"NTUNGAMO",100
187,"NWOYA",100
188,"OMORO",100
189,"OMORO",100
190,"OTUKE",94.32
191,"OTUKE",94.32
192,"OYAM",95.15
193,"OYAM",95.15
194,"PADER",100
195,"PADER",100
196,"PAKWACH",97.18
197,"PAKWACH",97.18
198,"PALISA",100
199,"PALLISA",100
200,"PALLISA",100
201,"RAKAI",100
202,"RAKAI",100
203,"RUBANDA",100
204,"RUKIGA",100
205,"RUKIGA",100
206,"RUKINGIRI",100
207,"RUKUNGIRI",100
208,"RUKUNGIRI",100
209,"SERERE",96.84
210,"SERERE",96.84
211,"SHEEMA",100
212,"SHEEMA",100
213,"SIRONKO",99.72
214,"SIRONKO",99.72
215,"SOROTI",95.16
216,"SOROTI",95.16
217,"SSEMBABULE",100
218,"SSEMBABULE",100
219,"TORORO",97.68
220,"TORORO",97.68
221,"WAKISO",95.9
222,"WAKISO",95.9
223,"YUMBE",82.97
224,"YUMBE",82.97
225,"ZOMBO",98.56
226,"ZOMBO",98.56
