"Category","Average consumption adequacy of Kilocalories (kcal) (NAME_1)","Average consumption adequacy of Kilocalories (kcal) (value)"
197,"PAKWACH",81.86
198,"PALISA",100
199,"PALLISA",74.68
200,"PALLISA",74.68
201,"RAKAI",99.59
202,"RAKAI",99.59
203,"RUBANDA",100
204,"RUKIGA",100
205,"RUKIGA",100
206,"RUKINGIRI",100
207,"RUKUNGIRI",96.29
208,"RUKUNGIRI",96.29
209,"SERERE",89.85
210,"SERERE",89.85
211,"SHEEMA",100
212,"SHEEMA",100
213,"SIRONKO",100
214,"SIRONKO",100
215,"SOROTI",95.21
216,"SOROTI",95.21
217,"SSEMBABULE",100
218,"SSEMBABULE",100
219,"TORORO",96.21
220,"TORORO",96.21
221,"WAKISO",97.97
222,"WAKISO",97.97
223,"YUMBE",64.98
224,"YUMBE",64.98
225,"ZOMBO",96.26
226,"ZOMBO",96.26
